firstname,secondname,city
Johanna,McCartney,Munchen
Albert,Starr,Haifa
Albert,Ono,NewYork
Steven,Epstein,PaloAlto
Dana,Ono,Munchen
Marc,Starr,NewYork
Marc,Lennon,London
Marc,Ono,Munchen
Dana,Ono,London
Steven,Lennon,NewYork
Marc,Starr,Munchen
John,Sutcliffe,London
John,Lennon,London
Marc,McCartney,PaloAlto
Steven,Starr,PaloAlto
Dana,Preston,London
Albert,Epstein,Munchen
Michael,Sutcliffe,NewYork
Michael,Starr,Haifa
Steven,McCartney,Hamburg
Marc,Sutcliffe,NewYork
Albert,McCartney,PaloAlto
Albert,Lennon,PaloAlto
Steven,McCartney,TelAviv
John,Harrison,Hamburg
Marc,Preston,Kiel
Johanna,Preston,NewYork
Dana,McCartney,Hamburg
Johanna,Starr,London
Scott,McCartney,Kiel
John,Sutcliffe,NewYork
Scott,Lennon,Hamburg
Dana,Sutcliffe,NewYork
Steven,Preston,London
Scott,Epstein,Munchen
Steven,Sutcliffe,Kiel
Michael,Epstein,TelAviv
Steven,Epstein,Haifa
Johanna,Harrison,TelAviv
Albert,Ono,Hamburg
Scott,Starr,Kiel
John,Epstein,Kiel
Steven,Epstein,London
Steven,Lennon,Hamburg
Albert,Ono,Munchen
Marc,Harrison,Hamburg
Scott,Preston,NewYork
Scott,Lennon,NewYork
Marc,Starr,PaloAlto
John,Starr,NewYork
John,Lennon,Haifa
Johanna,Harrison,Hamburg
John,Starr,Kiel
Michael,Ono,PaloAlto
Steven,Lennon,PaloAlto
Marc,Sutcliffe,NewYork
John,Preston,PaloAlto
Albert,McCartney,Haifa
Steven,McCartney,Munchen
John,Ono,Munchen
John,Epstein,NewYork
Scott,Sutcliffe,TelAviv
John,Preston,London
Scott,Epstein,Haifa
Albert,Epstein,London
Albert,Epstein,PaloAlto
Marc,Lennon,Hamburg
Scott,Starr,PaloAlto
Marc,Lennon,TelAviv
John,Preston,NewYork
Johanna,McCartney,London
Steven,Sutcliffe,TelAviv
Scott,McCartney,Haifa
Marc,Lennon,Hamburg
John,Ono,London
Albert,Preston,Munchen
Steven,Sutcliffe,London
Steven,Harrison,Munchen
Dana,Harrison,NewYork
Dana,Harrison,Haifa
