firstname,secondname,city
John,Lennon,TelAviv
Scott,McCartney,TelAviv
Johanna,Ono,Hamburg
Michael,Ono,Hamburg
Michael,Starr,PaloAlto
Albert,Preston,TelAviv
Albert,Lennon,NewYork
Steven,Sutcliffe,PaloAlto
John,Epstein,Munchen
Steven,McCartney,London
Dana,Preston,London
Michael,Ono,Munchen
Dana,Lennon,London
Johanna,Ono,Haifa
John,Preston,PaloAlto
Steven,Epstein,PaloAlto
Albert,Harrison,PaloAlto
Scott,Preston,Hamburg
Dana,Epstein,Kiel
Johanna,Ono,NewYork
Albert,Ono,London
Steven,Starr,TelAviv
Johanna,Preston,Kiel
Albert,McCartney,Kiel
Marc,Lennon,London
Albert,Ono,Hamburg
John,Ono,PaloAlto
John,Lennon,NewYork
Albert,Sutcliffe,Hamburg
John,McCartney,Haifa
Michael,Preston,London
Steven,McCartney,NewYork
Scott,Starr,Hamburg
John,Epstein,Haifa
Albert,Starr,NewYork
Michael,Sutcliffe,TelAviv
Scott,Epstein,Haifa
Dana,Epstein,NewYork
Dana,Harrison,Haifa
Albert,Harrison,London
Steven,McCartney,London
Marc,Ono,Hamburg
Johanna,Harrison,TelAviv
Albert,Sutcliffe,TelAviv
Marc,McCartney,NewYork
Dana,Sutcliffe,TelAviv
Albert,Preston,Kiel
Marc,Harrison,Hamburg
Marc,Preston,Kiel
Steven,Harrison,TelAviv
Steven,Epstein,NewYork
Scott,Starr,TelAviv
Dana,Sutcliffe,Kiel
Dana,Harrison,London
Steven,Sutcliffe,Haifa
Johanna,Lennon,Haifa
John,Preston,TelAviv
Michael,Sutcliffe,PaloAlto
Michael,Ono,Munchen
John,Lennon,Hamburg
Steven,Lennon,Kiel
Steven,Epstein,Hamburg
Marc,Lennon,Hamburg
Johanna,Preston,Hamburg
John,Preston,London
Dana,Lennon,Munchen
Michael,Harrison,PaloAlto
Michael,Lennon,NewYork
Marc,Harrison,Haifa
Dana,Sutcliffe,TelAviv
Steven,Lennon,Hamburg
Marc,Epstein,Kiel
Steven,Ono,Munchen
John,McCartney,NewYork
Dana,McCartney,Munchen
