firstname,secondname,city
Steven,Starr,Haifa
Albert,Ono,Haifa
Dana,Preston,Munchen
Michael,Starr,PaloAlto
Michael,Lennon,NewYork
John,Starr,London
Albert,Sutcliffe,London
Scott,Preston,TelAviv
Johanna,Preston,Hamburg
Michael,Ono,London
Michael,Ono,TelAviv
Albert,Ono,TelAviv
Albert,Harrison,NewYork
John,Epstein,NewYork
Johanna,Epstein,Munchen
Albert,McCartney,Kiel
Albert,Lennon,Kiel
Michael,Harrison,London
Michael,Sutcliffe,London
Albert,Lennon,PaloAlto
Dana,Harrison,Hamburg
Michael,Preston,PaloAlto
Dana,Lennon,Haifa
Steven,Harrison,Haifa
Johanna,Sutcliffe,Kiel
Steven,McCartney,Hamburg
Michael,Preston,Munchen
John,Sutcliffe,TelAviv
Johanna,Lennon,Hamburg
Steven,Ono,Hamburg
Scott,McCartney,TelAviv
John,Ono,TelAviv
Johanna,McCartney,Kiel
Scott,Starr,Haifa
Marc,Epstein,Hamburg
Marc,Starr,Kiel
John,Harrison,Hamburg
John,Starr,Munchen
Johanna,Lennon,London
Albert,McCartney,Hamburg
Scott,Ono,NewYork
Michael,Epstein,TelAviv
Albert,Ono,NewYork
Scott,McCartney,Kiel
Marc,Ono,NewYork
Marc,Lennon,PaloAlto
Michael,Harrison,TelAviv
Marc,Sutcliffe,PaloAlto
Steven,Ono,Kiel
Johanna,Harrison,Haifa
Marc,Harrison,London
Scott,Sutcliffe,PaloAlto
Dana,Starr,London
Scott,Epstein,PaloAlto
Michael,Sutcliffe,Kiel
John,McCartney,Hamburg
John,Preston,Munchen
Steven,Epstein,Haifa
Steven,Lennon,Munchen
Marc,Harrison,Hamburg
Steven,Preston,Munchen
Michael,Preston,TelAviv
Dana,Sutcliffe,NewYork
Johanna,Ono,Hamburg
John,Ono,TelAviv
Michael,McCartney,Hamburg
Dana,Starr,Munchen
Michael,Sutcliffe,London
Johanna,McCartney,Kiel
John,Ono,PaloAlto
Scott,Lennon,Munchen
Johanna,Lennon,Kiel
Scott,Preston,Haifa
Steven,Preston,NewYork
Dana,Harrison,Hamburg
