firstname,secondname,city
Marc,Starr,TelAviv
Albert,Preston,Munchen
Scott,Lennon,London
Johanna,Epstein,London
Michael,Epstein,PaloAlto
Scott,Starr,London
John,Lennon,London
Marc,McCartney,Kiel
Albert,Lennon,Munchen
Dana,McCartney,Hamburg
Marc,Sutcliffe,NewYork
Michael,Harrison,London
John,Ono,TelAviv
Steven,Preston,Munchen
Steven,Lennon,Hamburg
Albert,Lennon,London
Marc,Harrison,Kiel
Albert,Starr,Munchen
Steven,Preston,PaloAlto
Johanna,McCartney,NewYork
Scott,Preston,TelAviv
John,Starr,London
Michael,McCartney,Kiel
Albert,Starr,PaloAlto
Johanna,McCartney,London
Johanna,McCartney,TelAviv
Johanna,Starr,Hamburg
Dana,Preston,Munchen
Scott,Ono,Hamburg
Scott,Lennon,Hamburg
Dana,Starr,PaloAlto
Dana,Sutcliffe,Munchen
John,Lennon,Munchen
Johanna,Ono,Munchen
Albert,Epstein,Hamburg
Scott,Epstein,TelAviv
Michael,Starr,London
Johanna,Harrison,London
Steven,Starr,Haifa
Steven,Starr,TelAviv
Steven,Starr,Haifa
Albert,Sutcliffe,London
Michael,Epstein,Hamburg
Johanna,Epstein,Haifa
Michael,McCartney,NewYork
Johanna,Ono,London
Steven,Starr,PaloAlto
Johanna,Epstein,Munchen
Scott,Epstein,NewYork
John,Starr,Hamburg
Albert,Preston,London
Michael,Harrison,Kiel
John,Preston,Haifa
Marc,Lennon,Munchen
Albert,Sutcliffe,Hamburg
Johanna,Sutcliffe,Munchen
Albert,Starr,Hamburg
Steven,Lennon,Hamburg
Albert,Lennon,Haifa
Johanna,McCartney,Haifa
Scott,McCartney,Munchen
Michael,Ono,London
Dana,Epstein,PaloAlto
Steven,Starr,Kiel
John,Ono,Haifa
Johanna,McCartney,Haifa
Johanna,Epstein,NewYork
Scott,Epstein,NewYork
Scott,Harrison,Hamburg
Marc,Preston,Munchen
Dana,Starr,London
Albert,Sutcliffe,TelAviv
John,Harrison,Munchen
Scott,McCartney,Kiel
Scott,Epstein,TelAviv
