firstname,secondname,city
Scott,McCartney,Kiel
Dana,McCartney,London
Michael,Sutcliffe,Haifa
Marc,Preston,Munchen
John,Lennon,Haifa
Michael,Sutcliffe,London
Scott,McCartney,NewYork
Dana,Ono,PaloAlto
Dana,Harrison,PaloAlto
Albert,Preston,Kiel
Scott,McCartney,Kiel
Marc,Sutcliffe,Munchen
Dana,Starr,Hamburg
Steven,Harrison,Hamburg
Albert,McCartney,PaloAlto
John,Sutcliffe,Munchen
Steven,Starr,London
John,Sutcliffe,London
Albert,Epstein,London
Steven,Lennon,Kiel
John,McCartney,PaloAlto
John,Lennon,Haifa
Michael,Starr,PaloAlto
Scott,Starr,London
Michael,Lennon,London
Scott,Sutcliffe,Haifa
Albert,Lennon,PaloAlto
Marc,McCartney,Kiel
Michael,Lennon,TelAviv
Michael,Preston,NewYork
Dana,Preston,Haifa
Michael,Lennon,PaloAlto
Dana,Lennon,NewYork
Albert,Ono,PaloAlto
Michael,McCartney,Hamburg
Michael,Sutcliffe,Haifa
Steven,Starr,NewYork
John,Harrison,Haifa
Marc,McCartney,Hamburg
Johanna,Sutcliffe,Haifa
Johanna,Harrison,Kiel
Steven,Epstein,NewYork
Albert,Lennon,PaloAlto
Albert,McCartney,Munchen
John,Ono,TelAviv
Dana,Ono,NewYork
Marc,Sutcliffe,NewYork
Albert,Ono,NewYork
Marc,McCartney,PaloAlto
Marc,Starr,PaloAlto
Marc,Starr,TelAviv
Albert,Preston,Haifa
Scott,Epstein,Haifa
Johanna,Sutcliffe,London
Johanna,Ono,London
John,McCartney,PaloAlto
Scott,Preston,Haifa
Johanna,Ono,Munchen
Dana,Ono,Hamburg
John,Lennon,London
Marc,Harrison,NewYork
Johanna,Epstein,Haifa
Steven,Ono,NewYork
Dana,Sutcliffe,NewYork
Albert,Epstein,TelAviv
Scott,Preston,Hamburg
Albert,Ono,London
Dana,Sutcliffe,Kiel
Albert,Preston,PaloAlto
Scott,McCartney,PaloAlto
Michael,Preston,NewYork
Steven,Ono,NewYork
John,Sutcliffe,Hamburg
Johanna,Ono,TelAviv
Albert,Preston,Munchen
