firstname,secondname,city
Johanna,Starr,PaloAlto
Marc,Lennon,Munchen
Albert,Lennon,London
Scott,Starr,Haifa
Johanna,McCartney,TelAviv
Scott,Ono,NewYork
Albert,Lennon,London
Albert,Epstein,London
Johanna,Lennon,TelAviv
Johanna,Starr,London
John,Lennon,Haifa
Marc,Sutcliffe,Haifa
Dana,Ono,PaloAlto
Johanna,Harrison,Haifa
Johanna,Preston,NewYork
Johanna,Lennon,Munchen
Johanna,Starr,Kiel
Johanna,Harrison,Munchen
Steven,Starr,Hamburg
Dana,Lennon,PaloAlto
Michael,McCartney,London
Scott,Ono,NewYork
Steven,Starr,Haifa
Albert,McCartney,Kiel
Dana,Preston,PaloAlto
John,McCartney,Hamburg
Albert,Preston,TelAviv
Johanna,Epstein,Munchen
Johanna,Epstein,TelAviv
Scott,Starr,Haifa
Steven,Harrison,Haifa
Michael,McCartney,Hamburg
Albert,McCartney,PaloAlto
Michael,McCartney,Munchen
Steven,McCartney,Hamburg
Steven,Lennon,PaloAlto
Albert,Harrison,London
Johanna,Epstein,NewYork
Marc,Lennon,Kiel
Steven,McCartney,Haifa
John,Epstein,TelAviv
Marc,Harrison,Munchen
Albert,Sutcliffe,PaloAlto
Steven,McCartney,London
Dana,Epstein,Haifa
Steven,McCartney,Haifa
John,Starr,TelAviv
John,Epstein,Kiel
Marc,Harrison,Kiel
Johanna,Epstein,London
Michael,Harrison,TelAviv
John,Harrison,Kiel
Scott,Sutcliffe,NewYork
Michael,Epstein,London
Johanna,Epstein,NewYork
Johanna,McCartney,NewYork
John,McCartney,Munchen
Johanna,Sutcliffe,TelAviv
Johanna,Epstein,Haifa
Albert,Preston,TelAviv
Dana,Ono,Haifa
Scott,Starr,PaloAlto
Marc,Starr,TelAviv
Steven,Epstein,Haifa
Michael,Ono,PaloAlto
Johanna,Starr,PaloAlto
Michael,Preston,TelAviv
Marc,Preston,Munchen
John,Epstein,London
Steven,Starr,London
Dana,Lennon,TelAviv
Albert,Harrison,TelAviv
Michael,Epstein,Munchen
Johanna,Preston,TelAviv
Marc,Sutcliffe,Kiel
