firstname,secondname,city
Johanna,Sutcliffe,Munchen
John,Harrison,Kiel
Michael,Epstein,Haifa
Steven,Epstein,Hamburg
Marc,Sutcliffe,Munchen
Albert,McCartney,Munchen
Dana,Lennon,Hamburg
Scott,Harrison,PaloAlto
Scott,Ono,NewYork
Michael,Epstein,Haifa
Dana,Ono,PaloAlto
John,Starr,NewYork
Johanna,Epstein,TelAviv
Steven,Epstein,TelAviv
Steven,Preston,NewYork
John,Epstein,Hamburg
Dana,Epstein,Munchen
Scott,Lennon,TelAviv
Michael,Epstein,London
Johanna,Preston,Hamburg
Dana,Starr,Hamburg
Albert,Starr,Kiel
Marc,Starr,London
Scott,Harrison,Hamburg
Steven,Ono,NewYork
Dana,Lennon,NewYork
Steven,McCartney,Hamburg
Dana,Epstein,London
Albert,Lennon,NewYork
John,Epstein,TelAviv
Michael,Sutcliffe,London
Scott,Epstein,London
John,Harrison,TelAviv
Albert,McCartney,TelAviv
Albert,Harrison,Hamburg
Scott,Starr,Munchen
Michael,Epstein,NewYork
Scott,Preston,PaloAlto
Steven,McCartney,NewYork
John,Ono,London
Marc,Harrison,London
Steven,Sutcliffe,Kiel
Marc,Starr,Kiel
Johanna,Harrison,Munchen
Michael,Preston,Kiel
Dana,Lennon,Kiel
Michael,Lennon,PaloAlto
Scott,Starr,Haifa
Steven,Sutcliffe,Munchen
Marc,Preston,Haifa
Michael,Epstein,Kiel
Scott,Sutcliffe,Haifa
Scott,Preston,London
John,Epstein,Hamburg
Scott,Sutcliffe,Haifa
Marc,Epstein,Haifa
Johanna,Epstein,Haifa
John,Harrison,NewYork
Johanna,Preston,Munchen
Albert,Epstein,London
Marc,Harrison,NewYork
Michael,Preston,London
Steven,Starr,Kiel
Dana,Preston,PaloAlto
Johanna,Starr,Hamburg
Michael,Epstein,NewYork
Scott,Preston,Kiel
Johanna,Starr,NewYork
Scott,Harrison,PaloAlto
Johanna,Sutcliffe,Kiel
Albert,Lennon,TelAviv
Scott,McCartney,London
Michael,Lennon,London
Johanna,McCartney,PaloAlto
Albert,Epstein,PaloAlto
