firstname,secondname,city
Steven,Ono,PaloAlto
Johanna,Ono,Haifa
Michael,Ono,Kiel
Scott,Sutcliffe,TelAviv
Albert,Ono,Munchen
John,Preston,Munchen
Steven,McCartney,TelAviv
Dana,Ono,TelAviv
Dana,Lennon,London
Michael,McCartney,PaloAlto
Dana,Starr,Kiel
Albert,Lennon,Haifa
Marc,Lennon,London
Michael,Epstein,NewYork
Albert,McCartney,PaloAlto
Albert,Preston,London
John,Preston,London
Steven,Preston,London
Albert,Sutcliffe,Munchen
Steven,Ono,Munchen
Albert,Sutcliffe,Kiel
Scott,Epstein,TelAviv
Albert,Lennon,Haifa
John,McCartney,TelAviv
Johanna,Lennon,TelAviv
Scott,Preston,NewYork
Johanna,Preston,Kiel
Steven,Harrison,NewYork
Marc,Sutcliffe,Haifa
Marc,Preston,London
John,Epstein,TelAviv
Dana,Epstein,Kiel
Scott,Harrison,London
Johanna,Preston,Hamburg
Michael,McCartney,Hamburg
John,Preston,Kiel
Marc,Harrison,Munchen
John,Epstein,Hamburg
Albert,Starr,PaloAlto
Johanna,Starr,NewYork
Steven,Sutcliffe,Munchen
Steven,Epstein,Munchen
Dana,Sutcliffe,NewYork
Steven,McCartney,Haifa
Johanna,Harrison,London
Dana,McCartney,Kiel
Johanna,Lennon,Haifa
Michael,Lennon,Kiel
John,McCartney,PaloAlto
Albert,Starr,London
John,Harrison,Hamburg
Steven,Lennon,PaloAlto
Steven,Ono,Haifa
Albert,Preston,Kiel
John,Ono,Hamburg
John,Sutcliffe,London
John,Lennon,PaloAlto
Albert,Preston,Haifa
Michael,Starr,Hamburg
Dana,Starr,Hamburg
Johanna,Lennon,TelAviv
Michael,Epstein,Hamburg
Marc,Preston,NewYork
Michael,McCartney,PaloAlto
Michael,Sutcliffe,NewYork
Johanna,Preston,Kiel
Steven,Ono,Munchen
Steven,Preston,Hamburg
Albert,Harrison,NewYork
Marc,Lennon,London
Albert,Preston,London
Marc,Lennon,NewYork
Albert,Preston,Hamburg
Marc,Ono,Haifa
John,Starr,PaloAlto
Scott,Starr,Hamburg
Albert,McCartney,Hamburg
Albert,Sutcliffe,Munchen
Dana,Starr,NewYork
Scott,Sutcliffe,PaloAlto
