firstname,secondname,city
Michael,Preston,Hamburg
Steven,Starr,NewYork
Marc,Starr,Munchen
Michael,Lennon,TelAviv
Albert,Sutcliffe,NewYork
John,McCartney,Kiel
Johanna,Epstein,Haifa
Albert,Harrison,PaloAlto
Scott,Starr,Kiel
Steven,Harrison,Kiel
Michael,Epstein,Kiel
Dana,Preston,Kiel
Michael,Lennon,TelAviv
Marc,Harrison,PaloAlto
Scott,Lennon,Haifa
Dana,McCartney,Kiel
Steven,Ono,London
Dana,Lennon,Munchen
Albert,Harrison,TelAviv
Michael,Harrison,NewYork
Michael,Epstein,Munchen
Albert,Starr,Hamburg
Albert,Ono,Hamburg
Johanna,Ono,Kiel
Dana,Ono,Haifa
Johanna,Ono,TelAviv
Steven,Sutcliffe,Haifa
Johanna,Harrison,Hamburg
Scott,Preston,Munchen
Marc,Harrison,Haifa
Dana,Lennon,Kiel
Michael,Preston,London
John,Lennon,Hamburg
Scott,McCartney,NewYork
Johanna,Starr,Hamburg
Marc,Ono,Haifa
Scott,Sutcliffe,TelAviv
Michael,Starr,NewYork
Steven,Lennon,NewYork
Steven,Ono,Kiel
Steven,McCartney,Haifa
Dana,Ono,London
Johanna,McCartney,Hamburg
Albert,McCartney,NewYork
Scott,McCartney,NewYork
Scott,Ono,PaloAlto
Marc,Sutcliffe,Kiel
Marc,Ono,PaloAlto
Johanna,Preston,TelAviv
Marc,Sutcliffe,NewYork
Michael,Preston,Kiel
Marc,Starr,TelAviv
Marc,Preston,Munchen
Dana,Ono,Haifa
John,Epstein,Munchen
John,Lennon,Munchen
Steven,Preston,Munchen
Albert,Starr,Munchen
Steven,Ono,PaloAlto
Michael,Epstein,NewYork
Steven,Ono,Munchen
Scott,Lennon,Kiel
Marc,Harrison,NewYork
Albert,Sutcliffe,NewYork
Dana,Starr,London
Scott,Preston,NewYork
Scott,Epstein,TelAviv
Michael,Preston,Haifa
Dana,Sutcliffe,Kiel
Michael,Harrison,London
John,Epstein,PaloAlto
Steven,Starr,NewYork
Steven,Ono,TelAviv
Scott,Lennon,Kiel
Scott,Epstein,Hamburg
John,Starr,Haifa
Scott,Epstein,PaloAlto
John,Harrison,Haifa
Steven,Harrison,Haifa
Albert,Sutcliffe,Munchen
