firstname,secondname,city
Albert,Starr,Munchen
John,Preston,Kiel
Albert,Preston,NewYork
Scott,Lennon,NewYork
Scott,Harrison,Munchen
Dana,Epstein,TelAviv
Johanna,Epstein,Kiel
Steven,Lennon,TelAviv
Dana,Harrison,London
Albert,Epstein,NewYork
Scott,Sutcliffe,NewYork
Albert,Preston,PaloAlto
Albert,Harrison,Munchen
Steven,Ono,Haifa
Steven,Starr,Munchen
Johanna,Epstein,TelAviv
Michael,Ono,NewYork
John,Sutcliffe,NewYork
Scott,Preston,London
Michael,Sutcliffe,London
Marc,Harrison,Hamburg
Steven,McCartney,Kiel
Steven,Preston,London
Michael,Starr,Kiel
Johanna,Sutcliffe,Munchen
Michael,Preston,Hamburg
Marc,Starr,Kiel
John,Ono,Haifa
Johanna,Harrison,Kiel
Dana,Harrison,Munchen
Michael,Starr,Hamburg
Michael,Sutcliffe,Kiel
Marc,Lennon,NewYork
Michael,Harrison,Haifa
Scott,Harrison,PaloAlto
Michael,Preston,TelAviv
John,Preston,Kiel
Scott,McCartney,Haifa
Marc,Harrison,Haifa
Dana,McCartney,Hamburg
Michael,Preston,Haifa
Albert,Epstein,TelAviv
Albert,Harrison,TelAviv
Michael,Ono,London
Albert,Starr,Hamburg
Johanna,Harrison,NewYork
John,Ono,London
Albert,Preston,PaloAlto
Michael,Ono,Hamburg
Michael,Lennon,TelAviv
Dana,Starr,NewYork
Albert,Ono,PaloAlto
Michael,Sutcliffe,Munchen
John,McCartney,PaloAlto
Johanna,McCartney,TelAviv
Michael,McCartney,Munchen
Scott,McCartney,London
Johanna,Preston,Kiel
Dana,Lennon,Kiel
John,Preston,NewYork
Dana,Sutcliffe,PaloAlto
Dana,McCartney,Haifa
John,Lennon,PaloAlto
Albert,Lennon,Hamburg
Marc,Preston,TelAviv
Steven,Starr,PaloAlto
Michael,Harrison,PaloAlto
Scott,Sutcliffe,NewYork
Johanna,Preston,PaloAlto
Albert,Harrison,Kiel
Albert,Epstein,NewYork
Dana,Sutcliffe,TelAviv
Michael,Starr,Munchen
Dana,McCartney,Hamburg
Michael,Ono,Haifa
