firstname,secondname,city
Steven,Starr,Hamburg
Scott,Harrison,London
Steven,Preston,Haifa
Marc,Starr,Hamburg
Michael,Sutcliffe,Hamburg
John,Starr,London
John,Starr,Munchen
John,McCartney,TelAviv
Steven,McCartney,Hamburg
Scott,Starr,London
John,Ono,Kiel
John,Harrison,Munchen
John,McCartney,Munchen
Albert,Epstein,Munchen
John,Lennon,Hamburg
Steven,Ono,Hamburg
Albert,Preston,London
Scott,Ono,Haifa
John,McCartney,PaloAlto
Albert,McCartney,Kiel
Dana,Epstein,Munchen
Steven,Ono,Haifa
Marc,Epstein,Haifa
Michael,Preston,TelAviv
Scott,Sutcliffe,NewYork
Dana,Lennon,Kiel
Dana,Harrison,Kiel
Michael,Lennon,NewYork
Dana,Sutcliffe,PaloAlto
Michael,Starr,Haifa
Steven,Starr,Haifa
John,Sutcliffe,Haifa
Dana,Starr,Haifa
Steven,Lennon,Hamburg
Marc,Starr,NewYork
Scott,Sutcliffe,Munchen
Johanna,Sutcliffe,Haifa
Steven,Starr,Hamburg
Scott,Lennon,London
Steven,Lennon,Munchen
Marc,Ono,PaloAlto
John,Harrison,Hamburg
Johanna,Harrison,Munchen
Scott,Starr,Kiel
Dana,Epstein,PaloAlto
Dana,Ono,TelAviv
Michael,Ono,TelAviv
Dana,Sutcliffe,Munchen
Albert,Lennon,PaloAlto
Michael,Preston,Kiel
Dana,Ono,Munchen
Marc,Starr,Hamburg
John,Sutcliffe,Hamburg
Michael,Sutcliffe,Haifa
John,Harrison,Munchen
Johanna,Ono,Kiel
Steven,McCartney,Kiel
John,Sutcliffe,NewYork
Scott,Epstein,TelAviv
Dana,Preston,Kiel
Johanna,Starr,NewYork
Johanna,McCartney,Kiel
Johanna,Harrison,Haifa
Michael,Preston,Munchen
Johanna,McCartney,TelAviv
Michael,McCartney,PaloAlto
Dana,Epstein,TelAviv
Marc,Epstein,London
Johanna,Epstein,London
Albert,Lennon,TelAviv
John,Lennon,Haifa
Dana,Starr,London
Albert,Preston,Munchen
Johanna,Sutcliffe,TelAviv
Dana,Harrison,PaloAlto
Michael,Lennon,Haifa
Michael,Sutcliffe,London
Michael,Sutcliffe,PaloAlto
Scott,McCartney,NewYork
Johanna,Harrison,Haifa
