firstname,secondname,city
Dana,Epstein,Hamburg
Dana,McCartney,NewYork
Johanna,Starr,PaloAlto
Dana,Starr,Kiel
Michael,Sutcliffe,PaloAlto
Michael,Lennon,Kiel
Marc,Sutcliffe,Hamburg
Dana,McCartney,Hamburg
Scott,McCartney,TelAviv
Scott,Ono,London
Albert,Sutcliffe,NewYork
Steven,Harrison,NewYork
John,McCartney,Haifa
Dana,Starr,PaloAlto
John,Epstein,Kiel
Johanna,Preston,PaloAlto
Albert,Epstein,Hamburg
Johanna,Starr,London
John,Lennon,Kiel
Johanna,Preston,PaloAlto
Marc,Sutcliffe,London
Albert,Starr,Munchen
Johanna,Lennon,PaloAlto
Johanna,Sutcliffe,PaloAlto
Scott,Starr,TelAviv
Johanna,Ono,London
Johanna,Preston,Munchen
Albert,Ono,NewYork
Scott,Harrison,NewYork
Johanna,Lennon,NewYork
John,Preston,Hamburg
Marc,Preston,Kiel
Scott,McCartney,Munchen
Marc,McCartney,PaloAlto
Marc,Preston,Haifa
Scott,Preston,NewYork
Scott,Epstein,NewYork
Marc,McCartney,Hamburg
Albert,Preston,Kiel
John,McCartney,TelAviv
John,Starr,TelAviv
Marc,Epstein,NewYork
Johanna,Preston,NewYork
Scott,Harrison,NewYork
Steven,Lennon,London
Marc,Lennon,Hamburg
Dana,Ono,TelAviv
Michael,Harrison,London
Dana,Ono,Haifa
Scott,Epstein,Munchen
Scott,Starr,Haifa
Steven,Lennon,PaloAlto
Scott,Harrison,Kiel
Marc,Harrison,Munchen
John,Epstein,Munchen
Dana,Harrison,Kiel
Michael,Starr,TelAviv
Steven,Sutcliffe,London
Michael,Sutcliffe,London
Marc,Sutcliffe,Hamburg
Scott,Starr,NewYork
Dana,Sutcliffe,Haifa
Dana,Lennon,London
Albert,Epstein,Haifa
Johanna,Harrison,NewYork
Scott,Preston,PaloAlto
Scott,McCartney,Hamburg
Johanna,McCartney,PaloAlto
Michael,Lennon,Munchen
Johanna,Lennon,Haifa
John,Harrison,Hamburg
Dana,Epstein,NewYork
Scott,Epstein,Haifa
Michael,Lennon,TelAviv
John,Sutcliffe,Hamburg
