firstname,secondname,city
Steven,McCartney,NewYork
Scott,Sutcliffe,NewYork
Scott,Ono,NewYork
Scott,Lennon,Hamburg
John,Lennon,Hamburg
Scott,Epstein,TelAviv
Marc,Harrison,Hamburg
Dana,Preston,London
Johanna,Harrison,Munchen
Albert,Sutcliffe,TelAviv
Dana,Sutcliffe,Kiel
Dana,Harrison,Hamburg
Dana,Epstein,London
Michael,Epstein,TelAviv
Marc,Lennon,TelAviv
Marc,Epstein,NewYork
Dana,Lennon,Hamburg
Albert,Starr,Kiel
Albert,Lennon,Kiel
John,Starr,London
Johanna,Epstein,Kiel
Michael,Epstein,London
Marc,Sutcliffe,London
Michael,Preston,TelAviv
Johanna,Sutcliffe,TelAviv
Michael,McCartney,NewYork
Marc,Epstein,TelAviv
Dana,Starr,Haifa
Dana,McCartney,Kiel
Albert,Starr,Hamburg
Marc,Ono,PaloAlto
Michael,Sutcliffe,Hamburg
Scott,Sutcliffe,London
Albert,Ono,Haifa
John,Lennon,London
Marc,Ono,NewYork
Albert,Sutcliffe,Hamburg
Marc,Sutcliffe,Kiel
John,Harrison,Hamburg
Scott,Sutcliffe,London
John,Harrison,Munchen
Albert,Sutcliffe,Hamburg
Johanna,Sutcliffe,Hamburg
Albert,Preston,London
Johanna,Sutcliffe,PaloAlto
Scott,Harrison,NewYork
Marc,Harrison,PaloAlto
Johanna,Lennon,Hamburg
Johanna,Sutcliffe,Hamburg
Marc,Starr,London
Dana,McCartney,London
Albert,Harrison,London
Dana,Lennon,NewYork
Steven,Ono,Hamburg
Dana,Starr,Kiel
Scott,McCartney,Hamburg
Dana,McCartney,TelAviv
Dana,Harrison,Kiel
Albert,Starr,Kiel
Scott,Starr,PaloAlto
Michael,McCartney,Munchen
Dana,Harrison,PaloAlto
Michael,Epstein,TelAviv
Albert,Sutcliffe,Kiel
John,Lennon,London
Steven,Preston,Munchen
Steven,Starr,TelAviv
Albert,McCartney,TelAviv
Scott,Lennon,Kiel
Steven,Sutcliffe,London
Michael,Epstein,TelAviv
Steven,Ono,Haifa
John,Lennon,Hamburg
Michael,Harrison,NewYork
Johanna,McCartney,PaloAlto
