firstname,secondname,city
Albert,Epstein,PaloAlto
Steven,Ono,TelAviv
Michael,Ono,Hamburg
Michael,Ono,Hamburg
Albert,Ono,Kiel
Michael,Harrison,TelAviv
Johanna,Sutcliffe,NewYork
Michael,McCartney,TelAviv
Albert,Starr,TelAviv
Scott,Ono,London
Scott,Ono,NewYork
Scott,Sutcliffe,NewYork
Steven,Lennon,PaloAlto
Dana,Sutcliffe,Haifa
Marc,McCartney,Kiel
Dana,Preston,Kiel
Michael,Epstein,PaloAlto
Marc,McCartney,Hamburg
John,Ono,NewYork
Dana,Sutcliffe,TelAviv
Dana,Sutcliffe,Hamburg
Marc,Harrison,Kiel
Steven,Preston,London
Marc,Sutcliffe,Munchen
Albert,Harrison,TelAviv
Marc,Preston,London
Albert,McCartney,Hamburg
Marc,Starr,Munchen
Steven,Ono,Hamburg
Steven,Epstein,Kiel
Marc,Preston,NewYork
Albert,Preston,Hamburg
John,Sutcliffe,Munchen
Johanna,Starr,TelAviv
Michael,Lennon,Kiel
Albert,Sutcliffe,London
Dana,Starr,PaloAlto
Scott,McCartney,TelAviv
John,Epstein,London
Michael,Sutcliffe,London
Albert,Lennon,London
Scott,Starr,Hamburg
Albert,McCartney,Kiel
Dana,McCartney,Hamburg
John,Ono,Munchen
Albert,Ono,PaloAlto
Albert,Ono,TelAviv
Steven,Preston,TelAviv
Marc,Preston,Haifa
Dana,Harrison,Munchen
Scott,Harrison,PaloAlto
Albert,Epstein,Hamburg
Albert,Harrison,PaloAlto
Michael,Ono,Haifa
Albert,Starr,Kiel
Albert,Epstein,Munchen
John,Harrison,Hamburg
Johanna,Epstein,TelAviv
Marc,McCartney,NewYork
Marc,Harrison,London
Michael,Preston,NewYork
Albert,Starr,Kiel
John,Preston,TelAviv
Johanna,McCartney,Haifa
Marc,Ono,Haifa
Marc,Ono,NewYork
Steven,McCartney,London
Dana,Epstein,London
Marc,Epstein,Hamburg
Marc,Sutcliffe,Kiel
Dana,McCartney,Kiel
John,Epstein,NewYork
Dana,Ono,Munchen
Michael,Starr,NewYork
Dana,Preston,Kiel
Scott,Sutcliffe,Haifa
Marc,McCartney,PaloAlto
John,Harrison,Haifa
Johanna,McCartney,Kiel
Albert,Preston,Kiel
