firstname,secondname,city
Dana,McCartney,PaloAlto
John,Harrison,NewYork
Steven,Lennon,TelAviv
Steven,Starr,PaloAlto
Michael,Ono,London
Michael,Harrison,Haifa
John,Sutcliffe,TelAviv
Marc,Epstein,Munchen
John,McCartney,Hamburg
Dana,McCartney,Munchen
Albert,Ono,Hamburg
Dana,Epstein,Kiel
Albert,Sutcliffe,PaloAlto
Dana,Preston,London
Dana,Starr,NewYork
Michael,Starr,Munchen
Michael,Ono,London
Albert,Starr,Haifa
Johanna,Preston,Munchen
John,Sutcliffe,Kiel
Steven,Sutcliffe,TelAviv
Michael,Epstein,NewYork
Albert,Epstein,TelAviv
Albert,Ono,Haifa
Scott,Sutcliffe,TelAviv
Albert,Starr,TelAviv
Marc,Sutcliffe,PaloAlto
Albert,Harrison,PaloAlto
John,Preston,Haifa
Dana,Starr,London
Michael,Lennon,London
Dana,Harrison,Kiel
John,Epstein,London
Albert,Ono,Kiel
Marc,McCartney,NewYork
Johanna,Ono,London
John,Ono,Kiel
John,Ono,TelAviv
Steven,Sutcliffe,Hamburg
John,Starr,Haifa
Johanna,Preston,Munchen
Steven,Epstein,Hamburg
Scott,Lennon,Kiel
Michael,Starr,Haifa
Albert,McCartney,Hamburg
Steven,Lennon,Haifa
Michael,Ono,NewYork
Albert,Harrison,Haifa
Steven,Ono,Kiel
Michael,Harrison,Munchen
Johanna,Starr,NewYork
Johanna,Ono,NewYork
Albert,Lennon,Munchen
Scott,Lennon,Kiel
Johanna,Starr,Hamburg
Dana,Starr,NewYork
Steven,Harrison,PaloAlto
Johanna,Starr,PaloAlto
Johanna,Epstein,Munchen
Dana,Ono,London
Scott,Harrison,TelAviv
Dana,Sutcliffe,Hamburg
Albert,Ono,London
Scott,McCartney,Hamburg
John,Ono,Haifa
Dana,Harrison,TelAviv
Marc,Preston,NewYork
Johanna,Sutcliffe,London
Steven,Lennon,London
Michael,Ono,London
Johanna,Preston,Munchen
Scott,McCartney,NewYork
Albert,Harrison,Kiel
Marc,Preston,PaloAlto
Scott,Sutcliffe,London
John,Starr,Kiel
Scott,McCartney,London
Marc,Preston,Kiel
Scott,Harrison,London
Albert,Sutcliffe,PaloAlto
